メーカー,ジャンル,型番,に,ほ,5番,6番,自社,定価,仕入値,売値
バクマ工業,配管・部材,AB-400,0,0,0,0,0,0,119,
バクマ工業,配管・部材,HP-200,0,0,0,0,0,0,101,
バクマ工業,配管・部材,HP-1000,0,0,0,0,0,0,460,
バクマ工業,配管・部材,CC-75,0,0,0,0,0,530,204,238
バクマ工業,配管・部材,CC-100,0,0,0,0,0,630,243,284
バクマ工業,配管・部材,KS-60,0,0,0,0,0,0,139,
バクマ工業,配管・部材,KS-65,0,0,0,0,0,0,166,
バクマ工業,配管・部材,KC-60,0,0,0,0,0,220,92,99
バクマ工業,配管・部材,KC-65,0,0,0,0,0,250,105,112
バクマ工業,配管・部材,BDH2-14,0,0,0,0,0,0,1760,
バクマ工業,配管・部材,BDH2-16,0,0,0,0,0,0,2230,
バクマ工業,配管・部材,DDH-14,0,0,0,0,0,16100,4347,7245
バクマ工業,配管・部材,DDH-20,0,0,0,0,0,29500,8850,13275
バクマ工業,配管・部材,DDH-25,0,0,0,0,0,36800,11040,16560
